岗位名称,区位,薪资,工作年限,学历,关键词1,关键词2,关键词3,公司名,企业类别,企业规模,岗位要求,更新时间,来源
ai算法实习生（远程办公）,北京-昌平,3k-5k,经验不限,本科,大模型算法,深度学习,机器学习,成都花猫智绘信息科技,社交网络,0-20人,"要求：
1、本科及以上学历，计算机应用、计算机图形学、计算机图像处理或相关领域专业；
2、计算机视觉、模式识别、自然语言处理相关专业研究方向优先；
3、要具有扎实的数学基础、熟练的计算机编程能力；
4、有图像生成或多模态方向论文发表优先；
5、熟悉diffusion model开源生态，理解原理和使用案例；
6、英语读写能力强，能够阅读和理解相关的英文技术文档。
工作内容：
1、对前沿AIGC算法进行调研、分析与测试；
2、结合业务需求，参与技术规划制定，优化和改进算法；
3、协助团队进行算法工程化落地。",2023-12-10,boss直聘
AI芯片算法适配/优化工程师-北京,北京,70k-90k·14薪,经验不限,本科,计算机相关专业,,,某知名汽车生产公司,汽车生产,,"职位描述
1、分析研判算法，为AI芯片导入计算精度、算力等架构设计需求；
2、与算法工程师合作，基于对AI芯片架构的理解，对算法选型进行反馈，确保算法计算特征匹配AI芯片架构；
3、参与模型量化、稀疏、模型结构优化等算法适配工作，在确保算法精度的前提下，提升算法执行效率；
4、参与算法可靠性分析，参与软硬件协同的预期功能安全的架构设计。
职位要求
1、计算机、软件工程、机器学习算法及相关专业硕士及以上学历；
2、5年以上使用C/C++或者Python编程经验
3、熟悉Pytorch/Tensorflow等框架，具备AI算法开发、训练、优化部署等经验；
4、熟悉GPGPU或者NPU硬件架构，有Cuda等GPU kernel优化经验者尤佳。",2023-12-10,boss直聘
AI算法模型工程师,北京,20k-40k,经验不限,本科,人脸识别,,,某大型通信公司,通信/网络设备,100-499人,"1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、
图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
1. 计算机相关专业，大学本科毕业，硕士及以上学历者优先。
2. 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java、C++等至少一种语言。
3. 具备快速阅读深度学习相关论文并理解算法的能力。
4. 针对上述人脸相关方向的深度学习建模具有3年及以上经验。",2023-12-09,boss直聘
AI算法工程师 国企正式编制,北京,15k-30k,经验不限,本科,业务导向,智能营销/广告,语音/图像识别,某大型互联网金融公司,互联网金融,500-999人,"工作职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、 图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职要求
1. 计算机相关专业，大学本科毕业，硕士及以上学历者优先。
2. 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java、C++等至少一种语言。
3. 具备快速阅读深度学习相关论文并理解算法的能力。
4. 针对上述人脸相关方向的深度学习建模具有3年及以上经验。",2023-12-10,boss直聘
人工智能机器学习深度算法工程师【兼职】,北京-海淀,8k-14k,1-3年,本科,Python,C/C++,MATLAB,成都俏嘴娃电子商务,电子商务,0-20人,"工作时间：不限
工作时段：不限
结算方式：月结
招聘截止时间：2024-05-16
【任职要求】
1、熟悉深度学习、机器学习等算法并能应用设计与开发，人工智能相关专业本科及以上学历。
2、熟悉C++、Python、Linux等编程语言开发。
2.多劳多得，薪酬只多不少；只要你有专业能力
4.做的多，得的多，前期会有专门的人和你沟通。
5.公司长期招C/单片机/物联网/PLC等专业人员。",2023-12-10,boss直聘
AI安全算法工程师-安全与风控_北京,北京-海淀,20k-30k,1-3年,本科,机器学习,大模型算法,自然语言处理算法,北京字节跳动,移动互联网,10000人以上,"职位描述
1、通过蓝军演练评估 AI系统的安全性，挖掘和利用AI 系统中的漏洞；
2、开发针对 AI 系统的攻击以及漏洞挖掘工具和技术；
3、设计解决AI 系统漏洞的技术和方案；
4、研究针对AI系统的新威胁，包括Prompt注入攻击的原理、实践和防御。
职位要求
1、有1年及以上AI安全相关工作经验，计算机、人工智能和信息安全等相关专业；
2、熟练掌握Python/C/C++，熟悉常用的AI开发框架，具有扎实的数据结构、算法设计和机器学习理论基础；
3、拥有AI系统漏洞挖掘、设计AI系统保护方案、可解释性AI、及AI训练/推理框架设计的一项或多项经验；
4、拥有AI安全相关顶会论文者优先；
5、逻辑思考能力强，善于发现和解决问题，自我驱动。",2023-12-10,boss直聘
AI算法模型工程师,北京-昌平,25k-50k,经验不限,本科,大模型算法,图像算法,SQL,中移动金融全资子公司,互联网金融,500-999人,"岗位职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、
图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职资格
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。",2023-12-09,boss直聘
银行正编！算法工程师 人工智能,北京,20k-40k,经验不限,本科,机器学习算法/工程化经验,数学/统计相关专业,计算机相关专业,某500强上市公司,互联网金融,1000-9999人,"""岗位职责：
1、参与软件开发项目的具体实施；
2、负责程序编码开发工作，参与技术测试工作；
3、负责支持系统的推广培训等工作；
4、负责系统上线后升级维护需求的实施；
5、主要为银行核心业务、公司业务、中间业务、零售业务、金融市场、电子渠道及海外业务等开发项目进行系统分析与开发工作。""
""1、本科及以上学历，计算机及相关专业，两年及以上相关工作经验，
2、熟练掌握Java语言、C语言、C++、C#等开发语言，熟悉UNIX或LINUX操作系统，掌握MySQL、Oracle或其他数据库；
3、分布式方向：需熟练掌握Java语言，了解GO语言，熟悉Spring、Mybatis、HTML5等前后端开源框架，具备企业级分布式服务框架及服务治理领域开发经验者优先，具备分布式服务架构，Istio,Spring Cloud，Consul，ElasticSearch及分布式消息队列等框架及技术开发技能者优先；
4、前端方向：需三年以上web、安卓或IOS开发工作经验，精通web、Android App或IOS APP开发框架和开发模式，了解开发平台、Framework和底层设计原理，多线程、网络等相关知识；
5、JAVA平台方向：需熟练掌握Java语言及SSM等开源框架，熟悉http、socket等通讯协议，了解Restful，熟悉HTML5 、Jquary、Bootstrap、VUE等前端技术或框架，在底层技术平台领域具有开发经验者优先;
6、C语言平台方向：具备较强的UNIX或Linux C语言开发及系统设计能力，熟悉多进程通信、消息队列、socket通信等，熟悉嵌入式C语言数据库编程，具备shell脚本编程能力，三年以上相关开发经验；
7、人工智能方向：需有自然语言处理/计算机视觉/模式识别与分类相关教育背景和工作经验。熟悉TensorFlow、Keras等框架，熟练掌握Spark ML/MLLib 工具包，熟悉通过机器学习提升传统模型的精度、算法开发与优化过程，熟悉GBDT/XGboost/LSTM/CNN/RNN算法模型并有项目经验者优先；
8、安卓客户端方向：有扎实的Java和Kotlin语言基础，熟悉常用数据结构和算法；精通多线程和网络编程，对高性能程序设计、架构设计有较多经验，能快速搭建、调试或重构大规模软件代码；掌握数据加密、代码混淆、防破解、性能优化等技术；熟悉Android系统体系结构、framework、底层库；熟悉android系统打包编译、插件化、热修复等主流技术原理，对android系统框架、对客户端稳定性和性能优化有经验者优先；
9、苹果客户端方向：熟练掌握OC、Swift（有实际项目经验），并了解其底层原理如内存模型和内部实现原理，以及编译过程；精通iOS SDK中的UI、网络、XML/JSON解析等开发技术；对设计模式MVC，MVVM、APP架构，APP性能检测，Crash方案，解耦方案等有经验者优先；
10、有银行项目实施经验者优先；具备较强的工作责任心和团队合作意识，抗压能力强，具有较强分析问题和解决问题的能力，具备良好的协调沟通能力；""",2023-12-10,boss直聘
ai高级算法工程师,北京,40k-70k,经验不限,本科,搜索/推荐,计算机相关专业,数学/统计相关专业,某500强上市公司,基金,100-499人,"职位描述
工作职责：
1. 挖掘海量的金融数据，在特征提取、价格预测、组合优化等不同的应用场景实践你的机器学习算法；
2. AI前瞻领域预研与实验；
任职要求：
1. 熟悉任一机器学习分支领域（如统计学习，深度学习，强化学习，组合优化或其他相关前沿技术等）
2. 对量化行业感兴趣，并且有较强的工程实现能力
3. 计算机、数学、统计学或相关专业硕士或博士学位
4. 熟悉C++/Python/Go等一种或多种语言，扎实代码功底和实战能力
5. 熟悉至少一种深度学习框架：TF，pytorch等
PS：不要求金融背景，公司打造的研究框架让你可以迅速上手并专注于机器学习的应用
如果你有以下经历 ，将大大加分：
ACM/ICPC/NOIP/NOI等赛事获奖选手；
在计算机顶会或者顶刊有论文发表；
有中型以上规模的机器学习算法应用调优经验，如搜索/推荐/广告/图像；",2023-12-08,boss直聘
AI Agent算法工程师,北京-东城,50k-80k·13薪,经验不限,本科,大模型算法,强化学习,Python,昆仑天工,互联网,500-999人,"岗位职责：
1. 跟进工业界/学术界最新的大模型动态，特别是AI Agent方面的最新研究成果；
2. 参与前沿技术的技术研究和时间，对算法进行优化改进，提升系统的稳定性和性能；
3.和跨职能团队合作，包括产品、开发团队，确保按时交付高质量的Agent产品解决方案。
任职要求：
1. 统招本科及以上学历，计算机及相关专业，有较强的工程能力；
2. 有较强的自我驱动能力，能快速推进新任务的完成；
3.熟悉Agent技术领域最新的研究成果，有实际项目落地经验着优先。",2023-12-09,boss直聘
