岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间,来源
人工智能算法工程师,北京-丰台,20k-25k,1-3年,硕士,"C/C++
Python
数学基础
人工智能算法",中兵智能创新研究院,互联网,100-499人,"专业要求：
人工智能、计算机、电子、数学、自动化、机器人等相关专业
职位职责：
1、跟踪前沿人工智能算法，基于无人系统开展人工智能算法应用需求分析与开发评估；
2、负责人工智能算法的应用开发与实现；
3、参与课题论证、课题申报以及其他相关工作；
职位要求：
1、人工智能、计算机、电子、数学、自动化、机器人等相关专业，硕士或以上学历；
2、熟悉C++,python，有良好的人工智能算法、数学基础；
3、具有良好的学习能力和适应能力，良好的执行力；具有良好的协调能力和文档撰写能力；",2024-01-03,boss
人工智能算法设计工程师,北京-海淀,20k-40k·14薪,1-3年,硕士,人工智能算法,开普云,互联网,500-999人,"岗位责任：
1.负责人工智能领域的算法设计与开发
2. 负责前瞻性的科学研究工作、领域调研以及成果编写
3.能够根据任务需求撰写分析报告及PPT，能够将任务目标、研发思路、分析结果进行合理呈现。
任职要求：
1. 硕士及以上学历
2. 计算机科学与技术、软件工程、自动化控制等相关专业
3. 具有一定的人工智能理论基础，掌握自然语言处理、机器学习/深度学习、神经网络、模式识别、智能搜索、图神经网络等算法的理论框；
4. 具备较好的数学基础，相关课程成绩优异者优先；
5. 能够熟练运用Python、C/C++、Java、Matlab等至少一种编程语言，有基于Tensorflow、MxNet、Caffe、Pythorch等至少一种机器学习框架或Mahout、MLLib、GraphX等至少一种机器学习算法库从事算法设计经验者优先；
6. 具有人工智能领域科研项目经验者优先；
7. 能够独立开展技术攻关、技术调研和研究方案制定。",2024-01-03,boss
人工智能算法讲师,北京-海淀,50k-80k,经验不限,博士,"自然语言处理
深度学习算法
视觉图像算法
TensorFlow
PyTorch
数据挖掘",交大慧谷,互联网,无,"岗位职责
1、 AI算法课程讲授
2、全职或者兼职完成教学教研的相关工作
岗位要求：
1、自动化、数学、人工智能、计算机视觉、数据挖掘等相关专业方向；
2、有一定深度学习理论，有人脸识别、姿态检测、目标检测、NLP等相关项目开发经验；
3、熟练使用Caffe，Tensorflow，PyTorch等至少一种深度学习框架；
4、会cuda编程经验者优先；
5、具有比较强的沟通交流能力，学习能力、分析解决问题能力；
6、有团队合作精神，有海外留学背景优先。",2023-12-13,boss
人工智能算法专家,北京-通州,20k-40k,经验不限,硕士,"计算机相关专业
机器学习算法/工程化经验",互影通,广播/影视,20-99人,ai结合影视的产品开发,2023-12-04,boss
人工智能算法专家,北京-海淀,30k-60k,3-5年,硕士,"数学/统计相关专业
深度学习经验
能源预测
电价预测",清能互联科技,计算机软件,100-499人,"岗位职责：
1、机器学习/深度学习相关人工智能算法，在能源互联网产品/业务中的应用研究，包括但不限于能源供需预测、电价预测、产业趋势预测；
2、指导现有电力负荷预测、新能源功率预测或电价预测等算法的迭代升级；
3、牵头负责公司人工智能算法技术体系的完善和更新，保持对人工智能算法及行业应用前沿的把控，定期向管理层做技术更新汇报；
4、牵头参加行业内竞赛、标准制定以及对外公共宣传专业发声。
职位要求：
1、计算机、自动化、应用数学或能源相关专业，硕士及以上学历；
2、对常用的机器学习/深度学习算法有深刻理解，并且有成功的实际项目或产品应用经验；
3、熟悉人工智能技术新进展及行业应用最新情况，并具备持续跟踪和学习能力；
4、熟练掌握常用人工智能算法实现编程语言，擅长通过代码及各类工具完成技术工作交互；
5、工作严谨细致，有责任心和上进心，具备优秀的沟通能力及团队协作能力；勤奋好学，富有创新精神。",2024-01-03,boss
人工智能算法工程师,北京,22k-40k·14薪,1-3年,本科,"智能驾驶
Python
C/C++
计算机相关专业
深度学习经验
C++
机器学习算法
视觉图像算法
Boosting
自然语言处理
深度学习算法
数据挖掘
Python",四维图新,互联网,1000-9999人,"工作职责:
-负责视频理解，行为监控相关算法开发及应用研究
-处理海量数据，分析用户行为， 发掘潜在迭代方向
-对各类机器学习、深度学习模型进行调优
-将前沿的技术和算法应用于实践， 改善相关产品体验
职位要求:
-计算机、模式识别、自然语言处理或者相关专业，硕士及以上学历
-具备良好的问题分析、分解能力，对解决具有挑战性问题充满激情
-具备良好的团队合作精神，较强的沟通能力
-具备较强用户产品意识和数据分析能力，能够针对业务发现关键问题
-熟悉Linux开发环境，熟练掌握Python、C/C++等开发语言
-熟悉大规模数据挖掘、机器学习、深度学习等相关技术，有目标检测，图像识别，样本生成等相关工作经验",2023-12-26,boss
人工智能算法工程师,北京-昌平,20k-30k·13薪,1-3年,本科,"业务导向
Python
TensorFlow/PyTorch
深度学习经验
机器学习算法/工程化经验",中科边缘智慧,互联网,100-499人,"岗位职责：
1、熟悉深度学习、机器学习、神经网络、数据挖掘领域相关技术研究、应用以及工程化建设项目实施经验，对算法架构设计与实现有深入理解，能够进行跨学科系统及产品开发；；
2、具有目标检测、图像分类，自然语言处理等项目开发和部署经验；
3、精通python，熟悉flask、django等常用框架；熟悉c++或者java为加分项；
4、 熟悉Linux操作系统、数据库、人工智能技术，有良好的深度学习理论基础，精通使用飞桨、pytorch、tensorflow等开源框架，精通算法程序开发、部署和容器化等相关技术；
5、了解开源大语言模型、transform等AIGC知识为加分项。
任职要求：
1、全日本科及以上学历，计算机、人工智能等相关专业，2-3年左右专业领域工作经验；
2、有强烈求知欲，对人工智能领域相关技术有热情；
3、具有良好的数学基础，良好的英语阅读能力，有团队意识，与合作良好精神；
4、有GPT生成式模型研发经验者优先，有大模型的使用和开发经验者优先。",2023-12-26,boss
人工智能算法工程师,北京-昌平,20k-40k·15薪,3-5年,本科,"业务导向
语音/图像识别
Python
C/C++
计算机相关专业
机器学习算法/工程化经验
深度学习经验",北京智芯微电子,电力/热力/燃气/水利,1000-9999人,"*工作职责：
针对电力电网、安监领域的各种视觉应用场景，开发并落地高精度人工智能算法；
负责模型的裁剪、量化、压缩等性能优化；
负责人工智能算法工具链的开发；
负责人工智能研究成果的知识产权（论文、专利）发布；
跟踪人工智能技术和算法的前沿技术。
*任职要求：
1、熟悉Pytorch、Caffe、TensorFlow、paddlepaddle其中两种以上框架源码；
2、在以下一个或多个领域有应用开发经验：深度学习、计算机视觉、图像处理；
3、熟练掌握C/C++、Python；
4、在人工智能领域发表过高水平研究论文者优先；
5、具备一定的抗压能力，能主动与团队沟通与配合，积极解决工作上的问题和障碍
6、负责编写相关技术文档。",2023-12-28,boss
人工智能算法工程师,北京-朝阳,20k-40k·13薪,1-3年,大专,"TensorFlow/PyTorch
C/C++
OpenCV",上海美踏全宇数字科技,互联网,100-499人,"岗位职责:
1.负责数字人驱动算法（唇部，表情，动作）研究与落地；
2.负责数字人相关技术的预研与开发包括3d人体姿态估计、3d人脸重建、手势识别、表情识别、骨骼驱动、AI捏脸等核心技术算法；
3.参与数字人相关算法团队专业化建设与学术创新传承，使公司相关技术达到行业先进水平。 岗位要求:
1.熟悉机器学习常用算法；
2.主流机器视觉算法(Yolo系列、RCNN系列、Version Transformer）；
3.熟悉图像和视频的分类、检测、识别、分割、 重建、3D视觉、图像生成中的一项或多项；
4.熟练掌握C/C++/Python至少一种，工程实现能力强；
5.熟悉常用CV库(opencv/numpy)和深度学习框架（Caffe/PyTorch/TensorFlow等）；
6.熟悉主流加速推理框架（ONNX/TensorRT等）。
7.有研发真是人物面部表情及肢体动作捕捉、人物骨骼的自动重定向和绑定算法优先；
8.有使用deca，Stable Diffusion，Midjourney_V5，DALLE系列等生成式模型优先；
9.有模型部署、加速推理经验优先；
10.有游戏、虚拟数字人、AIGC工作经验优先。",2024-01-03,boss
人工智能算法工程师,北京-海淀,20k-40k,3-5年,硕士,"无明显侧重
智能驾驶
Python
C/C++
机器学习算法/工程化经验
gazebo
机器人
无人机",卓鸷科技,铁路/船舶/航空/航天制造,20-99人,"岗位职责
1. 负责旋翼无人机集群同/异构机器集群任务分配算法设计与开发；
2. 负责对抗环境中的集群博弈策略设计；
3. 组织动态环境下多机协同编队算法设计与开发。
具备能力
1. 具备Matlab/Simulink、Python、C/C++编程能力；
2.熟悉无人机集群多智能体编队控制算法的设计，多智能体任务分配等算法设计与gazebo等仿真；
3.熟悉ROS、mavlink、mavros等机器人相关软件及通信协议，掌握任务规划、局部避障、控制器算法、PID调参等技能；
4.具备较强的业务理解和数学建模能力，能快速理解问题、抽象并设计解决方案。
5.航空院校相关专业毕业优先，有集群无人机开发经验优先。",2023-12-31,boss
