岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间,来源
AI算法工程师 国企正式编制,北京,15k-30k,经验不限,本科,"业务导向
智能营销/广告
语音/图像识别
搜索/推荐
Python
TensorFlow/PyTorch
Java
计算机相关专业
机器学习算法/工程化经验
数学/统计相关专业
算法工程师国企正编
算法工程师正式编制
国企算法工程师正编",某大型互联网金融公司,互联网金融,500-999人,"工作职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、 图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职要求
1. 计算机相关专业，大学本科毕业，硕士及以上学历者优先。
2. 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java、C++等至少一种语言。
3. 具备快速阅读深度学习相关论文并理解算法的能力。
4. 针对上述人脸相关方向的深度学习建模具有3年及以上经验。",2023-12-31,boss
AI安全算法工程师-安全与风控,北京-海淀,25k-50k·15薪,经验不限,本科,Python,北京字节跳动,移动互联网,10000人以上,"职位描述:
1、通过蓝军演练评估 AI系统的安全性，挖掘和利用AI 系统中的漏洞；
2、开发针对 AI 系统的攻击以及漏洞挖掘工具和技术；
3、设计解决AI 系统漏洞的技术和方案；
4、研究针对AI系统的新威胁，包括Prompt注入攻击的原理、实践和防御。
职位要求
1、有1年及以上AI安全相关工作经验，计算机、人工智能和信息安全等相关专业；
2、熟练掌握Python/C/C++，熟悉常用的AI开发框架，具有扎实的数据结构、算法设计和机器学习理论基础；
3、拥有AI系统漏洞挖掘、设计AI系统保护方案、可解释性AI、及AI训练/推理框架设计的一项或多项经验；
4、拥有AI安全相关顶会论文者优先；
5、逻辑思考能力强，善于发现和解决问题，自我驱动。",2023-12-30,boss
AI图形学算法工程师,北京-朝阳,15k-25k,经验不限,本科,"计算机相关专业
数学/统计相关专业
英文读写能力良好
Stable diffusion
AIGC
CV算法",森博公关,广告/公关/会展,100-499人,"职位概述：
我们正在寻找一位具备Stable diffusion使用及算法开发经验的算法工程师，加入我们充满活力的AI产品团队。理想候选人需要拥有扎实的CV算法基础，具备Controlnet等训练经验，可以配合主美自定义训练AIGC做图模型并进行应用。
任职要求：
1、人工智能、深度学习/机器学习、计算机视觉、数学等相关专业本科及以上学历；
2、掌握Stable Diffusion基础原理，根据需求对业务进行分解，利用已有AI相关技术做预处理，最终生成合格的作品
3、掌握Dream booth、Textual Inversion、Hypernetworks、LoRA、segmentation等finetune方法的原理以及优缺点，可以根据应用场景训练模型
4、掌握ControlNet，腾讯T2I-Adapter等控制类原理，具备自定义训练一个ControlNet的经验
5、有良好的自我学习能力及自驱力，对前沿领域有强探索欲，有团队合作精神
6、加分项：有参与AIGC落地的丰富经验，切实产生业务价值案例的
我们提供：
具有竞争力的薪资待遇和福利；
宽松、友好的工作氛围和优秀的团队文化；
丰富的职业发展机会和技术挑战；
定期的团队活动和交流分享；
其他员工福利。",2023-12-29,boss
AI算法应用专家,北京,60k-90k,1-3年,本科,"C/C++
Python
算法工程化经验",某500强上市公司,电子商务,1000-9999人,"岗位职责：跟踪前沿AI算法进展，并将相应技术赋能到实际的业务场景中。
任职资格：
1. 计算机相关专业，本科及以上学历，2年以上工作经验； 2. 对常见AI任务有一定的实战经验，如意图识别、情感抽取、跨模态检索，并有扎实的理论基础和丰富的研发经验； 3. 对前沿的NLP和多模态技术有一定了解，如LangChain、DeepSpeed、BLIP2、Llama等，有实践经验更佳； 4. 在ICML、ICLR、NeurIPS、CVPR、ICCV、ACL、EMNLP、KDD、SIGIR、RecSys等有人工智能顶会论文发表者优先。",2023-12-30,boss
AI算法模型工程师,北京,20k-40k,经验不限,本科,人脸识别,某大型通信公司,通信/网络设备,100-499人,"1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、
图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
1. 计算机相关专业，大学本科毕业，硕士及以上学历者优先。
2. 具有良好的代码能力，精通各类深度学习框架下，模型研发，熟练掌握Python、Java、C++等至少一种语言。
3. 具备快速阅读深度学习相关论文并理解算法的能力。
4. 针对上述人脸相关方向的深度学习建模具有3年及以上经验。",2023-12-30,boss
算法工程师（点云ai方向）,北京,40k-50k·16薪,经验不限,本科,"深度学习
融合感知算法
C/C++
矿山项目
激光雷达感知算法",某大型知名机械设备公司,机械设备/机电/重工,10000人以上,"工作职责：
1、负责基于深度学习激光雷达点云的3D目标检测、分割、跟踪等算法的研究及迭代计算；
2、负责自动驾驶中激光雷达感知算法的长期研发和迭代，及算法在及时产品中的落地与优化提升；
任职要求：
1、本科及以上学历，要有ai模型训练和使用经验，具备深度学习经验。
2、有至少4年工作经验
3、工作项目涉及激光雷达感知、点云感知、目标检测、深度学习、pointpillar、聚类相关的，涉及其中2个以上
4、有自动驾驶行业（矿山领域更好）从业经验",2023-12-29,boss
遥感AI算法工程师,北京,18k-25k·14薪,1-3年,本科,"算法
遥感",某铁路公司,铁路/船舶/航空/航天制造,20-99人,"岗位职责：
1. 参与遥感影像智能识别相关的产品研发，协助算法落地
2. 负责遥感业务的视觉感知算法的研发和迭代，研究卫星遥感影像中的物体检
测与分割算法
任职要求：
1. 熟悉 C/C++、Python，有良好的数据结构和算法基础；
2. 有遥感(光学或 SAR)图像处理经验；
3. 深刻理解机器学习、深度学习等相关知识，在目标检测、图像分割、视频分
析等相关领域具有丰富的实践或研究经验
4. 熟悉主流模型和算法，关注领域内的最新进展，能够跟进和实现新的算法;
5. 较强的算法设计和实现能力，熟悉 Caffe/TensorFlow/Pytorch 等训练框架。
6. 良好的团队合作，沟通和协作能力",2023-12-30,boss
AI算法模型工程师,北京-昌平,25k-50k,1-3年,本科,无明显侧重,中移动金融全资子公司,互联网金融,500-999人,"岗位职责
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、
图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。
任职资格
1. 负责人脸身份认证领域算法模型研发，包括但不限于：人脸活体检测、人脸识别、人脸质量评估、人脸关键点检测、图像加密、图像处理等方向的深度学习模型实际研发经验，具有炫彩活检研发经验者优先。
2. 负责深度学习模型压缩、模型剪枝等研发工作，具有便携终端轻量级模型研发经验者优先。
3. 负责跟踪上述领域的先进技术及研发工作。
4. 负责相关算法模型的产线开发、验证、优化及维护等产线工作。",2023-12-30,boss
AI算法工程师（NLP方向）（央企正编）,北京,40k-50k,经验不限,硕士,"AIGC
chatGPT
知识图谱",某通信公司,通信/网络设备,无,AIGC，chatGPT，知识图谱，将同一副影像中的AI告警事件进行归并整合、告警压制、告警升级等处理。,2023-12-31,boss
AI算法优化专家,北京-大兴,30k-60k·15薪,经验不限,本科,研究导向,斑马网络,互联网,1000-9999人,"岗位职责：
-负责智驾算法在GPU/DLA等算力平台上的部署，包括模型量化、模型剪枝等技术
-负责智驾算法端到端性能优化，包括子图优化、算子优化、模型前后处理优化等技术
-与算法团队紧密合作，从性能/精度/部署成本等维度为算法团队提供输入和指标要求
-负责智驾整系统性能调试与优化，解决资源占用、资源竞争等问题，确保整系统达到上车指标
任职资格
-硕士5年以上工作经验，含2年以上AI高性能计算开发经验，且在GPU领域有2年以上开发经验
-熟练掌握C++/CUDA等编程语言，扎实的数据结构与算法能力，熟悉计算机体系架构等基础知识
-熟悉Xavier/Orin计算平台，熟练掌握TensorRT推理引擎，并有GPU/DLA算子开发经验者优先
-熟悉cuDNN、Cutlass等任一高性能算子库，并有相关开发经验者优先
-良好的发现问题、解决问题、团队协作和沟通能力。",2023-12-30,boss
