岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间,来源
AI算法工程师,上海-浦东,16k-30k·14薪,经验不限,本科,,外企德科,无,无,"职位描述
岗位优势：
双休、全额六险一金、14-16薪、每年1-2次升职调薪机会、带薪年假、试用期不打折、一年后可转岗正编、有大佬导师带教、有适应期
岗位地域：
上海、南京、北京、深圳、杭州、南京、西安、成都、武汉、东莞、苏州
岗位类别：
Java、测试、C++、C、嵌入式操作系统、前端、安卓、iOS、大数据开发等
可匹配的项目：存储、云计算、人工智能、智能驾驶、音视频、实验室、芯片、BPIT等等
工作时间：弹性打卡，周末双休，每天早上9点上班，12-2点午休2小时，提供免费夜宵，周三周五家庭日，月末最后一个周六上班双倍加班费。
通用岗位要求：
1、学信网可查的***本科及以上学历，计算机、软件、通信等相关专业优先；
2、热爱编程，基础扎实，熟悉掌握但不限于C++/C/Python/java/JS/GO等编程语言中的一种或数种，有良好的编程习惯；
3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；
【参考JD】
Ai算法工程师 or Ai开发工程师
专业知识要求：
1、精通Linux环境编程，精通C++/Python编程，有扎实的编程功底；
2、熟悉深度学习算法者优先录用。
岗位要求：
1、负责指导客户进行基于人工智能计算平台的业务软件迁移，包括需求澄清、方案分析、软件移植、性能优化等；
2、负责解决内外部客户使用AI平台的技术问题，快速响应，及时闭环；
3、负责设计、编写、测试Sample和Demo代码，输出开发文档、技术手册、案例等，支持用户实现高效率、高质量、高性能的业务开发。
另有其他多种算法岗位，欢迎私信了解！",2024-01-13,智联
AI算法工程师,上海-徐汇,15k-30k,3-5年,本科,"图像识别产品
PyTorch
C++
TensorFlow
OpenCV
图像识别机器识别
深度学习技术",山东逐浪云华数字科技有限公司,"互联网,IT服务,计算机软件,互联网",0-20人,"职位描述
图像识别产品PyTorchC++TensorFlowOpenCV图像识别机器识别深度学习技术
岗位职责：
1、负责图像处理、图像识别、目标检测、图像分割等计算机视觉算法在工业领域应用的研发工作。
2、参与核心产品中与计算机视觉相关的研发工作。
3、解决计算机视觉与深度学习算法在实际工业场景中的应用与优化问题。
4、负责相关算法的工程化部署实施落地。
职位要求：
1、 本科以上统招学历，具有计算机科学、图像处理、模式识别、机器学习、人工智能、数学等相关专业本科以上学历，掌握扎实的机器学习、计算机视觉、OCR的理论基础。
2、 3年以上设计和实践经验，熟悉图像处理、图像分割、目标检测，边缘提取，多语言文字识别等相关的算法，精通不同场景字符图标检测的自动化分类和算法方案的选择与实现，并在通用OCR引擎方面有扎实的研发经验。
3、 熟悉深度学习技术，精通一种以上深度学习开源框架，如TensorFlow、PyTorch等，能独立完成算法研发、测试和优化；
4、 扎实的工程实现能力，熟悉C++/Python；
5、 熟悉市场上常用的至少一种视觉软件（如:OpenCV, Halcon等）
6、 有较强的责任心和良好的沟通能力，能够快速定位并解决问题，学习能力强，跟进OCR前沿技术，进行技术难点攻关与前瞻研究。
工作地点：工作地点不限，可烟台、济南、青岛、北京、上海、深圳等，",2024-01-06,智联
AI算法工程师,上海-徐汇,15k-30k,经验不限,本科,搜索引擎,铂睿德佳,"咨询服务,仪器仪表制造,电气机械/电力设备,电力/水利/热力/燃气",100-299人,"职位描述
搜索引擎
岗位职责：
1、负责机器学习，深度学习等主流人工智能技术学习以及研究；
2、负责公司大规模机器学习算法的研发和实施，包括模型设计、模型训练；
3、负责AI产品的系统开发工作，开发与改进模型算法，将先进技术应用到产品中；
4、为公司业务组提供数据分析及机器学习方面的技术支持。
任职要求：
1、28岁以内；
2、本科+国内院校硕士或本科毕业后有1-2年相关工作经验，理工科院校计算机相关专业。",2024-01-09,智联
软件开发/测试/AI开发/算法工程师（9岗位）,上海-浦东,18k-35k·14薪,经验不限,本科,"C++
Python
Java",外企德科,无,无,"职位描述
C++PythonJava
*这是华为OD岗位，不是实习岗位，烦请找实习的在校童鞋们不要投递哦~
*HC充足，欢迎找新机会的小伙伴来投递哦~
----------------------------------------------------------------------------
岗位地域：
上海、北京、深圳、杭州、南京、苏州、西安、成都、武汉、东莞、广州、济南、长沙
岗位类别：
Java、C、C++、Python、测试、嵌入式操作系统、前端、大数据开发、算法、AI、安卓、iOS等等~~
可匹配的项目：芯片、存储、云计算、人工智能、智能驾驶、音视频、实验室、BPIT等近20个业务线，将根据发展意向进行推荐哦~
通用岗位要求：
1、 学信网可查的***本科及以上学历，计算机、软件、通信等相关专业优先
2、 热爱编程，基础扎实，精通掌握但不限于Java/C/C++/Python/JS/GO等编程语言的一种或多种，具备良好的文档编制习惯和代码书写习惯。
3、 理解能力强，善于沟通，乐于合作，具备独立工作和解决问题的能力。
----------------------------------------------------------------------------
多种岗位均有HC，欢迎来戳～回复快！",2024-01-13,智联
AI算法工程师,上海-浦东,20k-40k·16薪,3-5年,本科,"算法研究
机器人算法",上海派能能源科技股份有限公司,新能源,1000-9999人,"职位描述
算法研究机器人算法
岗位职责:
提出具有创新性的方法论和技术架构，帮助构建储能产品监控运营体系
跨部门协同完成上下游业务的对接，形成电池全生命周期的管理方案
负责电池监控业务的算法落地和精度跟踪
跟踪业界前沿机器学习技术，设计并实现相关算法，例如深度学习、强化学习、AutoML等算法模型
任职要求:
3年以上机器学习相关算法工作经验
精通常用的数据挖掘和机器学习算法，包括监督学习模型（分类、回归、排序等）、非监督学习（聚类）、半监督学习模型等
具有扎实的计算机科学功底，扎实的编程基础和数据结构算法基础、较强的编程能力和问题解决能力
使用numpy、pandas、scikitk-learnTensorFlow、PyTorch、Keras 等其中一种或多种深度学习框架
会pyspark及Mllib优先",2024-01-13,智联
nlp算法工程师,上海-杨浦,15k-30k·14薪,3-5年,本科,"文本分析
实体识别
文本分类
文本挖掘
分词
C++
Python
搜索引擎
智能客服",上海熙软科技有限公司,计算机软件,500-999人,"职位描述
文本分析实体识别文本分类文本挖掘分词C++Python搜索引擎智能客服
工作内容：
1. 医疗运营系统业务相关NLP算法的研究与开发
2. LLM微调与部署
3. 使用prompt利用大模型解决实际问题
任职要求：
1. 本科及以上学历，计算机、数学等相关专业
2. 基础数据结构和算法能力扎实，代码能力扎实，熟练使用Python编程；具有一定工程能力
3. 精通NLP相关算法，有相关项目经验，如文本分类、分词、实体词提取、文本匹配方面有实际的模型训练及应用经验
4. 熟练使用Tensorflow/Pytorch等框架；会使用Spark/Hadoop mapreduce进行数据处理
5. 有LLM使用经验，熟悉prompt engineering
6. 熟悉Linux开发环境
7. 优先：有LLM 精调和部署经验，掌握C++编程，有智能客服或搜索引擎工作经验",2024-01-05,智联
【华为】算法工程师,上海-浦东,薪资面议,经验不限,本科,"深度学习
图像处理",无,无,无,"职位描述
深度学习图像处理
工作地点上海、深圳，待遇贼好，快来投递吧~
【岗位职责】
1、负责计算机视觉算法的研发和优化，包括文字识别、目标检测，人脸识别等。
2、负责算法模型的设计、实现和优化，提高算法的效率和精度。
3、负责所开发算法的自测试和验证，保证算法的稳定性和可靠性。
4、 关注业界前沿算法进展，攻关技术难题，构建算法竞争力，打造业界领先的计算视觉算法，业务包括文字识别、目标检测、人脸识别、视频分析、图像识别和图像搜索等。
【岗位要求】
1、计算机、金融、统计、数学及相关专业，本科及以上学历，有相关项目经验者优先
2、熟练掌握计算机视觉领域的基础理论和算法，如CNN、RNN等。
3、熟悉常用的深度学习框架，如PyTorch或TensorFlow等。
4、熟练掌握Python等编程语言。
5、具有良好的团队合作精神和沟通能力。",2024-01-14,智联
AI算法工程师（工程机械方向）,上海-浦东,28k-45k·14薪,5-10年,硕士,"机器学习
贝叶斯
帆软",山东临工,无,无,"职位描述
机器学习贝叶斯帆软
一、职位描述：
1、从事工程机械设备的机器学习、人工智能工作，包括数据探索，数据分析，特征提取，模型设计，设备画像等领域的研究和开发工作；2、负责机器学习平台和框架的搭建工作，包括算法实现及系统研发；3、对用户行为、产品信息、业务各环节数据进行统计、挖掘，结合业务知识分析，评估不同策略、干预措施对用户的影响；4、构建用户的精细化管理体系，量化用户类型及行为特征；5、支持公司相关产品在机器学习领域的研究。
二、任职要求：
1、硕士及以上学历，计算机、通信、自动化等相关专业毕业，5年以上算法相关工作经验；2、有良好的数学基础和编程能力，熟悉Python、Java等编程语言；3、熟悉机器学习、模式识别等领域的相关算法(如逻辑回归、SVM、神经网络, 决策树、贝叶斯，Gradient Boost，KNN，K-Means等)；4、熟悉至少一种数据可视化工具（如帆软等）；5、具备工业设备、工程机械等相关经验者优先；6、良好的信息搜索、文献阅读及算法实现的能力；7、良好的文档撰写习惯和能力，能有效地与技术团队和管理层做清晰地沟通；8、突出的问题分析与解决能力。",2024-01-11,智联
AI算法测试工程师,上海-浦东,15k-20k,1-3年,本科,"Python
C/C++
CUDA
Runtime",合肥吾恒信息科技有限公司,"计算机软件,IT服务",100-299人,"职位描述
PythonC/C++CUDARuntime
一、runtime测试（c++）
职位描述
1. 负责异构平台运行时接口（runtime）测试用例的设计与分析，完成测试用例的编写及端到端验证；
2. 开发和维护测试基础设施，包括持续集成和自动化测试框架。
职位要求
1. 本科（含）以上学历，2年以上软件测试经验；
2. 熟悉c++/python/shell编程，熟悉linux命令；
3. 熟悉软件测试流程，做事负责，有良好的学习、沟通和团队协作能力；
二、llvm测试（c++）—— cuda、opencl相关开发经验；
异构计算测试职位描述
1. 负责异构平台的测试用例设计及编写
职位要求
1. 熟悉CUDA， OpenCL等异构编程模型
2. 熟悉C++和Linux环境
3. 熟悉软件测试流程，做事负责
三、ai算子测试；（python/c++)
职位描述
1. 负责AI算子测试用例的设计及分析，完成测试用例的编写及端到端验证；
2. 负责AI算子性能用例设计及编写，并完成性能守护；
3. 负责软件版本发包及版本测试；
职位要求
1. 本科（含）以上学历，2年以上软件测试经验；
2. 熟悉python/c++/shell编程，熟悉linux命令；
3. 熟悉软件测试流程，做事负责，有良好的学习、沟通和团队协作能力；
四、ai网络测试（python/c++）
职位描述
1. 负责NN网络的测试用例的编写及端到端验证；
2. 负责NN网络的性能用例设计及编写，并完成性能守护；
3. 负责软件版本发包及版本测试；
职位要求
1. 本科（含）以上学历，2年以上软件测试经验；
2. 熟悉python/c++/shell编程，熟悉linux命令；
3. 熟悉软件测试流程，做事负责，有良好的学习、沟通和团队协作能力；",2024-01-04,智联
高级算法工程师,上海-杨浦,25k-35k·13薪,3-5年,本科,"视觉图像算法
自然语言处理
用户画像
PyTorch
TensorFlow
ReXNet",中富通,"互联网,运营商/增值服务,通信/网络设备",1000-9999人,"职位描述
视觉图像算法自然语言处理用户画像PyTorchTensorFlowReXNet
（岗位职责）
1. 从事机器学习/深度学习/图像识别等方向的研究和开发；
2. 承担大模型训练的开发和调优工作，探索前沿技术，复现和创新任务。如：prompt设计，大模型fine-tuning，模型蒸馏，分布式训练等；可控文本生成、风格和主题控制；
3. 负责算法模型的封装上线等工程开发与维护工作；
4. 验证算法，调优模型，搭建稳定可靠的 AI 服务；
5、紧跟业界NLP文本生成技术，解决面向不同应用场景的内容文本生成问题；
经验要求：
1.熟悉本研究领域的最新研究成果，公开数据集，和相关的开源系统；
2.有深度模型训练，图像分类.物体检测与分割.视频分析.三维建模.计算机图形学等相关科研经历者优先。
3.过硬的科研背景：深度学习/机器学习；
4.熟悉Python等至少一门脚本语言，使用Theano,Caffe,Torch,TensorFlow等开源深度学习框架优先；
5.了解LLMs、Transformer、BERT、GPT1/2/3等模型的内部原理，熟悉它们的应用场景和实现方法, 能够根据项目需要应用这些技术进行算法优化",2024-01-04,智联
