岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间,来源
AI算法研究员,北京-海淀,15k-30k,经验不限,本科,"Torch
TensorFlow
Python
智慧医疗",东华医为科技有限公司,"IT服务,IT服务",1000-9999人,"职位描述
TorchTensorFlowPython智慧医疗
岗位职责：
1）结合临床具体需求，负责图像或文本算法研发，包括深度学习、图像处理等算法和软件研发；
2）负责算法性能优化；
职位要求：
1）数学，计算机，机器视觉、物理，生物医学工程等相关专业，有医学图像处理与分析及相关开发经验优先；
2）精通Torch、Tensorflow框架；
3）精通python；
4）对医学影像处理及AI算法有丰富经验和和成功案例者优先；
5）有发表高水平文章或项目申请经验者优先。",2023-12-31,智联
ai数据算法工程师,北京-海淀,15k-16k,1-3年,本科,"Python
Shell
语音数据
模型训练
深度学习
自然语言处理",首聘(北京)科技有限公司,"企业服务,电子商务",1000-9999人,"职位描述
PythonShell语音数据模型训练深度学习自然语言处理
【岗位职责】
1. 收集、清洗及挖掘海量语音数据，并利用深度学习模型，探索优化并改进数据生产链路，提高数据生产效率
2. 与算法团队、数据采集团队、平台工程化团队合作，打造一体化的数据生产、模型训练和业务交付平台
3. 基于现有的语音大模型和平台基础，熟练掌握模型训练和调优的方法，支持面向业务交付的模型训练和优化
【任职要求】
1. 精通linux平台
2. 精通shell、python脚本，代码功底扎实，熟悉常见数据结构及算法
3. 具备良好的逻辑思维能力、沟通能力，做事认真细心
4. 有深度学习、自然语言处理相关经验者优先
5.本科及以上，1年以上工作经验",2023-12-31,智联
AI算法工程师,北京-海淀,20k-35k,经验不限,硕士,"CNN
TensorFlow
PyTorch
数据开发
人工智能、视觉识别
深度学习算法
Python",南京智子引擎信息科技有限公司,人工智能,20-99人,"职位描述
CNNTensorFlowPyTorch数据开发人工智能、视觉识别深度学习算法Python
招聘深度学习，感兴趣随时和我联系~",2023-12-31,智联
AI研究算法工程师-NLP方向,北京-海淀,20k-30k·14薪,3-5年,硕士,"文本分析
PyTorch
DNN
CNN
RNN
C++
Python
大模型",科大讯飞,,无,"职位描述
文本分析PyTorchDNNCNNRNNC++Python大模型
工作职责:
1、负责认知智能及自然语言处理核心算法研究与开发；
2、针对具体业务问题能够结合算法特点，设计合理的落地方案并实施交付；
任职要求:
1、硕上及以上学历，计算机、信号处理数学、软件工程、电子与通信、自动化等相关专业，研究生4年以上/博士3年以上NLP研发相关工作经历，具备较为扎实的自然语言处理、人机交互等领域研究或开发经验，对于个别具备较强NLP/NN技术能力的应聘者不受专业限制；
2、英语六级以上，具备中英文学术论文的调研能力；
3、具备NLP领域实际项目经验，作为项目的主要负责人员进行过相关产品的研发，对深度学习、自然语言处理、大数据等相关领域的最新进展模型、算法有深刻理解和实操经验；
4、熟悉Python、C++等编码语言中至少一种，熟悉Linux下的编程开发环境，熟悉数据结构及常见算法；
5、具备深度学习、强化学习、知识图谱方面的研究经验和基础；同时熟悉pytorch等主流深度学习框架，并具备模型训练调参等相关经验；
6、具有良好的沟通能力和团队合作精神，有过团队管理经验、认真负责，拥有较强的逻辑思维能力，沟通能力较强，责任心强，吃苦耐劳，可接受长期出差。",2023-12-31,智联
视频AI算法工程师,北京-海淀,15k-30k·13薪,经验不限,本科,"SAM
YOLO
pytorch
TensorFlow
Python
C/C++
Java
GO
计算机
软件工程",龙软科技,"计算机软件,IT服务,计算机软件,矿产/采掘",300-499人,"职位描述
SAMYOLOpytorchTensorFlowPythonC/C++JavaGO计算机软件工程
岗位职责：
1.负责当前产品线的代码改进和完善，增强产品的可扩展性；
2.负责系统的功能测试与项目维护；
3.负责项目相关问题的内部系统、外部系统的技术支持，技术培训等；
4.参与产品策划，完成项目的功能设计与脚本化代码实现；
5.协助完成策划方案与需求明细，负责项目开发过程中相关文档的编写；
6.完成上级领导交办的其他任务。
任职条件：
1. 本科及以上学历，计算机，软件工程，信息系统等相关专业优先；
2. 熟悉CV领域基本模型算法如YOLO，SAM等，在特定领域有相关模型训练实践经验；
3. 熟悉常见深度学习框架，如Pytorch, Tensorflow等；
4. 具有基础算法和编程能力，熟悉常见编程语言，包括但不限于Python, C/C++, Java, Go等；
5. 具备良好的沟通表达能力以及团队合作精神，具有强烈的工作责任心。",2023-12-20,智联
AI算法工程师（高级）,北京-海淀,25k-40k·14薪,3-5年,本科,"C++
神经网络
目标跟踪
TensorFlow
Caffe
Shell
PyTorch
机器学习算法",北京崭珀科技有限公司,"人工智能,IT服务,计算机软件,计算机硬件",20-99人,"职位描述
C++神经网络目标跟踪TensorFlowCaffeShellPyTorch机器学习算法
岗位职责：
1) 针对公司业务和运营场景，完成人工智能应用相关算法研发和迭代调优工作。
2) 从事深度学习、统计学习等机器学习算法研究、工程实现和优化等工作，包括各类传统和新型机器学习算法。
3) 负责计算机视觉相关的技术研发工作，包括但不限于：目标检测、语义分割、语义识别。
4) 完成ARM平台算法优化，调整网络结构，减少模型所需的计算资源，提高模型的识别准确率。
任职条件：
1) 统招本科及以上学历，计算机或数学相关专业，熟练掌握计算机视觉、神经网络算法理论基础。
2) 熟悉计算机视觉、机器学习算法，并在以下一个或者多个领域有深入研究，图像分类、目标检测、目标跟踪和图像分割等领域。
3) 熟悉深度学习的框架，例如 Tensorflow, Pytorch, Caffe，SSD，Yolo等。
4) 熟悉业界通用的人工智能和机器学习方案和应用流程，具有根据需求制定算法方案并完成工程开发的能力。
5) 熟练掌握 C/C++ 语言，并至少掌握一种脚本语言，如Python、Shell等。
6) 3年以上AI领域工作经验。
7) 有无人驾驶工作经验优先。
职位福利：创业公司、周末双休、五险一金、带薪年假、节日福利、交通补助、餐补、通讯补助",2023-12-19,智联
AI算法工程师,北京-海淀,15k-16k,1年以下,本科,,首聘(北京)科技有限公司,"企业服务,电子商务",1000-9999人,"职位描述
1. 收集、清洗及挖掘海量语音数据，并利用深度学习模型，探索优化并改进数据生产链路，提高数据生产效率
2. 与算法团队、数据采集团队、平台工程化团队合作，打造一体化的数据生产、模型训练和业务交付平台
3. 基于现有的语音大模型和平台基础，熟练掌握模型训练和调优的方法，支持面向业务交付的模型训练和优化
【任职要求】1. 精通linux平台2. 精通shell、python脚本，代码功底扎实，熟悉常见数据结构及算法3. 具备良好的逻辑思维能力、沟通能力，做事认真细心4. 有深度学习、自然语言处理相关经验者优先",2023-12-31,智联
算法工程师（AI 大数据 图像 智能车）,北京-海淀,20k-40k·16薪,经验不限,本科,,外企德科,,无,"职位描述
岗位职责
我们致力于软件算法的研究设计，通过算法大幅改善产品体验和性能效率
1、可以对单点算法性能做出极致优化，或具备全局视野，能从 E2E考虑算法应用竞争力体现;
2、负责移动终端设备人工智能、大数据挖掘算法和解决方案的研究、设计、验证和交付;
3、 对传感器在专业运动健康、生物识别、情景感知等技术做出优秀的用户体验。
岗位要求
1、具备人工智能AI算法、大数据算法、数据结构算法设计和开发能力;
2、具备前沿人工智能技术跟踪和业界趋势的跟踪和算法应用能力;
3、至少掌握Java/Python/C其中一种开发语言，掌握Hadoop开源工具使用更佳;
4、至少掌握一种数据挖掘工具和深度模型训练工具,如 Tensorflow.caffe.matlab;
5、具备较强的动手实践能力,能够快速把想法用算法程序的实现;
6、具备挑战不可能的精神和创新意识，主动担责，攻坚破难;
7、具备良好的团队合作精神，善于沟通。",2023-12-28,智联
算法工程师（点云ai方向）,北京-昌平,40k-60k·16薪,经验不限,硕士,"C++
智能驾驶
感知融合
激光雷达感知算法
3D目标检测",广垠(河北)人力资源服务有限公司,证券/期货,0-20人,"职位描述
C++智能驾驶感知融合激光雷达感知算法3D目标检测
工作职责：
1、负责基于深度学习激光雷达点云的3D目标检测、分割、跟踪等算法的研究及迭代计算；
2、负责自动驾驶中激光雷达感知算法的长期研发和迭代，及算法在及时产品中的落地与优化提升；
任职要求：
1、本科及以上学历，要有ai模型训练和使用经验，具备深度学习经验。
2、有至少4年工作经验
3、工作项目涉及激光雷达感知、点云感知、目标检测、深度学习、pointpillar、聚类相关的，涉及其中2个以上
4、有自动驾驶行业（矿山领域更好）从业经验",2023-12-27,智联
AI算法工程师（NLP方向）,北京-海淀,20k-40k,3-5年,硕士,NLP,智联猎头,"互联网,人力资源服务",1000-9999人,"职位描述
NLP
岗位职责：
1） 跟踪AI领域最新研究成果，负责自然语言、语音、视觉等感知模块相融合的算法研究；
（2） 融合自然语言处理与机器视觉、语音技术，针对文本、图像、音视频等多模态信息进行联合解析，构建计算模型，实现视觉与语言信息中的语义识别与整合，应用于图像描述、视觉问答、逻辑推理以及客服问答等AI领域重要任务；
（3） 建立可解释的问答推理模型，包括神经符号推理、图形推理等;
（4） 优化自然语言处理基础模块效果，包括不限于分词、实体识别、语法分析、意图分类等。
任职要求：
1、硕士研究生以上学历，自动化、计算机科学、模式识别、图像处理、多媒体技术等专业方向；
2、熟悉图像处理、模式识别算法，熟悉GPU、OpenCV等图像处理平台；
3、熟悉深度学习主流框架，熟练应用Caffe, TensorFlow或Torch等至少一种框架，具备相关算法开发与应用经验；
4、精通C/C++/Python等编程语言,有丰富的Linux开发经验；
5、积极主动、性格开朗，有良好沟通与团队协作能力，乐于接受挑战；
6、熟练英文读写。",2023-12-31,智联
