"算法研究
算法开发
Python
PyTorch","工作职责
1、进行人工智能算法研究和开发，负责AI算法选型、AI训练工具选择使用以及AI训练环境搭建等工作。 2、进行AI训练数据的筛选和处理，对数据进行预处理、清洗和转换，确保数据的质量和适用性。 3、负责AI训练结果的打标和标注，以提供高质量的训练数据集。 4、进行AI训练参数和算法模型的调优，优化模型性能，提高准确度和效率。 5、进行AI训练结果的工程化处理，将模型集成到实际应用中，并进行性能优化和系统调试。 6、进行GPU优化编程，利用硬件加速技术提升算法训练和推理速度。 7、开发和维护使用Python和C++等编程语言的相关工具和库，以支持算法研发和工程化工作。 8、熟悉pytorch框架，能够使用其进行模型训练和部署。 9、具备计算机视觉（CV）和自然语言处理（NLP）模型训练的经验和能力。 跟踪并掌握相关领域的技术发展和研究成果，持续学习和提升专业知识。
任职要求
1、本科及以上学历，计算机科学、人工智能、机器学习或相关专业优先。 2、至少5年以上人工智能算法工程师或相关岗位的工作经验。 3、熟悉常见的AI算法，如深度学习、神经网络、决策树等，并能够灵活选择和应用合适的算法。 4、熟练使用Python和C++编程语言，有扎实的编程能力和良好的代码风格。 5、熟悉AI训练工具和框架，如TensorFlow、PyTorch等，并具备使用和调优经验。 6、具备良好的数学和统计学基础，能够理解和应用常见的数学算法和模型评估方法。 7、具备快速学习和独立解决问题的能力，对新技术和挑战充满热情。 1、熟悉 CMMI、敏捷开发等软件项目管理制度和流程，可管理项目和团队 2、沟通顺畅、思路敏捷、理解力强，能够准确把握客户意图，能够通过充分沟通明确工作内容 3、具备良好的学习能力，能够带领团队完成项目任务，有较强的团队精神; 4、国家公立985、211高等院校本科以上学历； 5、有良好的协作能力，能编写PPT等各类文档。 教育公司背景， 部委去合作，教育部社科院，云网相关教育配套"
"深度学习
知识图谱
算法开发","（1）研究和开发人工智能算法模型，解决工业领域问题；
（2）负责人工智能模型的设计、开发、测试和优化，不断提升模型准确性和性能，以满足实际应用需求；
（3）研究和开发人工智能应用程序，包括界面设计、用户交互、数据可视化等方面，以提高用户体验和应用效果。
2.任职要求：
（1）本科及以上学历，计算机、数学等相关专业；
（2）熟练掌握人工智能领域的各种算法和模型，包括大模型、知识图谱、机器学习、强化学习等，并有实际项目经验；
（3）熟练使用深度学习开源软件，掌握云边协同技术，能进行云端训练、模型下发及边端部署服务全流程实施；
（4）熟悉相关的数据分析和机器学习平台，如Spark、Hadoop等，并有相关项目经验。"
"深度学习
算法开发
算法设计
Java
Python
自然语言处理
大数据算法","岗位职责：
1.负责深度学习及机器学习相关算法的开发和应用
2.负责深度学习相关技术栈及算法的预研和选型
3.负责算法相关的数据处理
任职要求
1.全日制硕士及以上学历，计算机、数学或相关专业
2.2年以上深度学习相关的工作经验
3.熟悉linux系统，熟悉Python，熟悉tensorflow等深度学习框架
4.熟悉逻辑回归、随机森林、决策树、贝叶斯、SVM等基础分类算法
5.熟悉CNN、RNN、DBM、AE等人工智能算法及其原理
6.熟悉有监督学习、无监督学习、强化学习等原理及实现
7.具备极强的编程能力、学习能力和抗压能力
8.中共党员优先"
"CNN
算法设计
算法开发
PyTorch
RNN
MXNet
算法研究
Python
OpenCV
Caffe","岗位职责:
1、负责AI项目的整体规划和实施计划的制定；
2、负责机器学习算法模型设计、开发和验证，持续对算法模型进行迭代和优化；
3、根据实验数据不断修正AI模型，以提升模型精度；
4、负责模型的训练、迁移和部署，包括但不限于模型量化、蒸馏、剪枝、并行训练等；
5、了解人工智能领域的前沿技术和算法，能适时引入到公司业务体系中；
6、支持公司相关项目在机器学习领域的研究；
7、参与人工智能相关专题项目的申报和知识产权申请。
任职要求:
1、有医药/化学/生物领域AI经验；
2、计算机、生物医学、数学或统计相关专业硕士或博士毕业，有3年以上工作经验；
3、扎实的机器学习、深度学习基础，熟悉主要的机器学习框架如Pytorch, TensorFlow, OpenCV, Caffe, TensorFlow, Mxnet等；
4、对大数据分析方向有浓厚的兴趣，具有算法和计算机编程基础、统计学基础，熟悉Python、R、STATA、MATLAB、JAVA等语言；
5、有生命科学、医药企业工作经验；
6、能适应偶尔出差。"
"CNN
算法设计
算法开发
PyTorch
RNN
MXNet
算法研究
Python
OpenCV
Caffe","岗位职责：
1、负责AI项目的整体规划和实施计划的制定；
2、负责机器学习算法模型设计、开发和验证，持续对算法模型进行迭代和优化；
3、根据实验数据不断修正AI模型，以提升模型精度；
4、负责模型的训练、迁移和部署，包括但不限于模型量化、蒸馏、剪枝、并行训练等；
5、了解人工智能领域的前沿技术和算法，能适时引入到公司业务体系中；
6、支持公司相关项目在机器学习领域的研究；
7、参与人工智能相关专题项目的申报和知识产权申请。
任职要求：
1、有医药/化学/生物领域AI经验；
2、计算机、生物医学、数学或统计相关专业硕士或博士毕业，有3年以上工作经验；
3、扎实的机器学习、深度学习基础，熟悉主要的机器学习框架如Pytorch, TensorFlow, OpenCV, Caffe, TensorFlow, Mxnet等；
4、对大数据分析方向有浓厚的兴趣，具有算法和计算机编程基础、统计学基础，熟悉Python、R、STATA、MATLAB、JAVA等语言；
5、有生命科学、医药企业工作经验；
6、能适应偶尔出差。"
"算法开发
算法设计
深度学习
TensorFlow
PyTorch
MXNet
Caffe
M语言
OpenCV
Matlab","岗位职责
1、负责AI项目的整体规划和实施计划的制定；
2、负责机器学习算法模型设计、开发和验证，持续对算法模型进行迭代和优化；
3、根据实验数据不断修正AI模型，以提升模型精度；
4、负责模型的训练、迁移和部署，包括但不限于模型量化、蒸馏、剪枝、并行训练等；
5、了解人工智能领域的前沿技术和算法，能适时引入到公司业务体系中；
6、支持公司相关项目在机器学习领域的研究；
7、参与人工智能相关专题项目的申报和知识产权申请。
任职要求
1、有医药/化学/生物领域AI经验；
2、计算机、生物医学、数学或统计相关专业硕士或博士毕业，有3年以上工作经验；
3、扎实的机器学习、深度学习基础，熟悉主要的机器学习框架如Pytorch, TensorFlow, OpenCV, Caffe, TensorFlow, Mxnet等；
4、对大数据分析方向有浓厚的兴趣，具有算法和计算机编程基础、统计学基础，熟悉Python、R、STATA、MATLAB、JAVA等语言；
5、有生命科学、医药企业工作经验；
6、能适应偶尔出差。"
"自然语言处理
算法研究
深度学习
深度学习框架","岗位职责：
1、 负责化学相关文本中自然语言处理方向的算法研发
2、 应用NLP技术在具体业务场景中解决实际需求，优化模型准确率和效率
3、 探索NLP在药物设计领域的应用
4、 跟进行业前沿技术发展趋势，跟踪国际最新算法发展方向和相关技术
岗位要求：
1、 计算机、数学等相关专业博士学历，在以下至少一个领域有较深入研究的研究经验：自然语言处理，深度强化学习，图神经网络等
2、 熟悉Python，有良好的编程能力，熟悉TensorFlow、Python、Pytorch中至少一种深度学习框架
3、 熟悉了解人工智能、机器学习等领域的前沿方向与研究动向
4、 具备将机器学习与自然语言处理的理论转化为实践的能力
5、 具有化学相关背景或项目研发经验者优先
6、 具备良好的学习能力和独立工作能力，乐于探索和解决问题，对未知领域能快速掌握并实践应用
7、 有激情，责任心强，执行力强，团队合作和沟通能力佳"
"算法
图像处理
人脸识别
机器学习
深度学习","职责描述：
视频分析算法研发、视觉算法研发、图像文字识别算法研发、嵌入式AI开发方向
1、基于视频图像识别技术研发，主要场景包括但不限于Reid、人脸识别、人脸人体属性分析、活体检测、3D视觉重建、目标检测、语义分割、视频事件检测、行为分析，负责算法模型的训练与调优；
2、分析算法的瓶颈（如光照条件对算法的影响），并提出解决方案，推动算法在实际场景的性能优化与落地。
3、参与工程团队将人工智能算法落地，负责安防、智慧城市领域视频AI算法的核心技术研发工作；
4、负责计算机视觉AI算法在嵌入式平台的移植、调试优化和集成；负责嵌入式深度学习视觉AI算法模型的训练、压缩、裁剪和优化；
学历要求：
全日制统考类大学本科及以上学历，开发类相关专业，
外语技能：
1、英语4级或同等水平。
专业技能：
1、具有机器学习，深度学习，计算机视觉、图像处理或自然语言领域专业背景和研发工作经验；
2、熟练使用TensorFlow/Caffe/MXNet/PyTorch中至少一种或多种深度学习框架；
3、深度理解AI算法实现过程数据收集、处理，模型训练等过程中的各类技巧；
4、了解CNN、LSTM、RNN等神经网络组件的原理；
5、具有独立完成AI算法训练与优化的能力；
6、面向嵌入式开发需要熟悉深度神经网络和嵌入式模型,如RBM、CNN、DBN、Sparsecoding、MobileNet等 ， 熟悉ARM体系架构，海思/nvidia/movidius相关平台开发经验者优先。
素质
1、良好的团队合作精神，出色的沟通和理解能力，出色的技术文档写作和演讲能力；
2、有责任心，工作积极主动、严谨细致，有团队合作精神和良好的沟通能力；
3、具备有很好的学习和逻辑能力，强烈的探索和求知欲；
4、具备一定的抗压能力，善于应对来自工作上的各种压力。"
"算法研究
算法开发
Python
PyTorch","任职要求：
1、本科及以上学历，计算机科学、人工智能、机器学习或相关专业优先。
2、至少5年以上人工智能算法工程师或相关岗位的工作经验。
3、熟悉常见的AI算法，如深度学习、神经网络、决策树等，并能够灵活选择和应用合适的算法。
4、熟练使用Python和C++编程语言，有扎实的编程能力和良好的代码风格。
5、熟悉AI训练工具和框架，如TensorFlow、PyTorch等，并具备使用和调优经验。
6、具备良好的数学和统计学基础，能够理解和应用常见的数学算法和模型评估方法。
7、具备快速学习和独立解决问题的能力，对新技术和挑战充满热情。
8、熟悉 CMMI、敏捷开发等软件项目管理制度和流程，可管理项目和团队
9、沟通顺畅、思路敏捷、理解力强，能够准确把握客户意图，能够通过充分沟通明确工作内容
10、具备良好的学习能力，能够带领团队完成项目任务，有较强的团队精神;
11、统招本科及以上学历；
12、有良好的协作能力，能编写PPT等各类文档。
岗位职责：
1、进行人工智能算法研究和开发，负责AI算法选型、AI训练工具选择使用以及AI训练环境搭建等工作。
2、进行AI训练数据的筛选和处理，对数据进行预处理、清洗和转换，确保数据的质量和适用性。
3、负责AI训练结果的打标和标注，以提供高质量的训练数据集。
4、进行AI训练参数和算法模型的调优，优化模型性能，提高准确度和效率。
5、进行AI训练结果的工程化处理，将模型集成到实际应用中，并进行性能优化和系统调试。
6、进行GPU优化编程，利用硬件加速技术提升算法训练和推理速度。
7、开发和维护使用Python和C++等编程语言的相关工具和库，以支持算法研发和工程化工作。
8、熟悉pytorch框架，能够使用其进行模型训练和部署。
9、具备计算机视觉（CV）和自然语言处理（NLP）模型训练的经验和能力。
10、跟踪并掌握相关领域的最。新技术发展和研究成果，持续学习和提升专业知识。"
"PyTorch
TensorFlow
深度学习
CMMI","【岗位职责】
1、进行人工智能算法研究和开发，负责AI算法选型、AI训练工具选择使用以及AI训练环境搭建等工作。
2、进行AI训练数据的筛选和处理，对数据进行预处理、清洗和转换，确保数据的质量和适用性。
3、负责AI训练结果的打标和标注，以提供高质量的训练数据集。
4、进行AI训练参数和算法模型的调优，优化模型性能，提高准确度和效率。
5、进行AI训练结果的工程化处理，将模型集成到实际应用中，并进行性能优化和系统调试。
6、进行GPU优化编程，利用硬件加速技术提升算法训练和推理速度。
7、开发和维护使用Python和C++等编程语言的相关工具和库，以支持算法研发和工程化工作。
8、熟悉pytorch框架，能够使用其进行模型训练和部署。
9、具备计算机视觉（CV）和自然语言处理（NLP）模型训练的经验和能力。
【任职要求】
1、本科及以上学历，计算机科学、人工智能、机器学习或相关专业优先。
2、至少5年以上人工智能算法工程师或相关岗位的工作经验。
3、熟悉常见的AI算法，如深度学习、神经网络、决策树等，并能够灵活选择和应用合适的算法。
4、熟练使用Python和C++编程语言，有扎实的编程能力和良好的代码风格。
5、熟悉AI训练工具和框架，如TensorFlow、PyTorch等，并具备使用和调优经验。
6、具备良好的数学和统计学基础，能够理解和应用常见的数学算法和模型评估方法。
7、具备快速学习和独立解决问题的能力，对新技术和挑战充满热情。
1、熟悉 CMMI、敏捷开发等软件项目管理制度和流程，可管理项目和团队
2、沟通顺畅、思路敏捷、理解力强，能够准确把握客户意图，能够通过充分沟通明确工作内容
3、具备良好的学习能力，能够带领团队完成项目任务，有较强的团队精神;
5、有良好的协作能力，能编写PPT等各类文档。"
