内容安全风控NLP算法工程师  ,北京,30-50k·15薪,1-3年,本科,某上海人力资源服务公司,咨询服务,100-499人,,https://www.liepin.com/a/50588265.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_50588265%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=19&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=19
内容安全风控NLP算法工程师,北京,30-60k·15薪,经验不限,统招本科,某北京大型互联网公司,互联网,不需要融资,10000人以上,https://www.liepin.com/a/51660929.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51660929%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=20&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=20
内容安全风控NLP算法工程师 ,北京-朝阳区,40-60k·15薪,3-5年,统招本科,某北京大型互联网公司,互联网,不需要融资,10000人以上,https://www.liepin.com/a/50889943.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_50889943%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=21&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=21
到店-大模型应用算法工程师-智能助手,北京,25-45k·15薪,1-3年,硕士,美团,生活服务,港股上市,10000人以上,https://www.liepin.com/job/1963327299.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_63327299%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=22&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=22
NLP算法工程师,北京-海淀区,35-50k·14薪,3-5年,硕士,某北京大型在线教育公司,在线教育,D轮及以上,10000人以上,https://www.liepin.com/a/51360329.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51360329%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=23&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=23
高级广告算法工程师/专家,北京,40-70k,3-5年,硕士,某知名公司,在线社交/媒体,融资未公开,10000人以上,https://www.liepin.com/a/51386107.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51386107%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=24&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=24
NLP算法工程师,北京,30-60k·14薪,1-3年,统招本科,某北京人力资源服务上市公司,人力资源服务,已上市,500-999人,https://www.liepin.com/a/50836965.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_50836965%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=25&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=25
NLP资深算法工程师,北京-海淀区,40-55k·16薪,5-10年,硕士,某北京生活服务O2O上市公司,生活服务O2O,已上市,10000人以上,https://www.liepin.com/a/51888473.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51888473%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=26&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=26
大模型应用算法工程师,北京,25-50k·15薪,3-5年,硕士,美团,生活服务,港股上市,10000人以上,https://www.liepin.com/job/1963758817.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_63758817%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=27&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=27
美团App-营销增长算法专家,北京,40-60k·15薪,1-3年,本科,美团,生活服务,港股上市,10000人以上,https://www.liepin.com/job/1963479963.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_63479963%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=28&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=28
高级算法工程师【讯飞正编】,北京-海淀区,20-35k·14薪,1-3年,统招本科,安徽百得思维,互联网,2000-5000人,,https://www.liepin.com/job/1963674163.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_63674163%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=29&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=29
广告平台-算法工程师（商家端方向）,北京,20-35k·15薪,经验不限,硕士,美团,生活服务,港股上市,10000人以上,https://www.liepin.com/job/1962077347.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%402_62077347%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=30&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=30
内容安全风控NLP算法工程师,北京,55-60k·15薪,5-10年,统招本科,某北京大型互联网公司,互联网,不需要融资,10000人以上,https://www.liepin.com/a/51411107.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51411107%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=31&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=31
内容安全风控NLP算法工程师,北京,65-70k,5-10年,统招本科,某北京大型电子商务公司,电子商务,融资未公开,5000-10000人,https://www.liepin.com/a/51411231.shtml?pgRef=c_pc_search_page%3Ac_pc_search_job_listcard%401_51411231%3A1%3Abf4b3d53-a561-4aab-b38e-989ca0da5f40&d_sfrom=search_prime&d_ckId=null&d_curPage=2&d_pageSize=40&d_headId=null&d_posi=32&skId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&fkId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&ckId=8n0uy45jvuattn30u2pbjksqp4w8s0ub&sfrom=search_job_pc&curPage=2&pageSize=40&index=32
